"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 26 09:01:48 UTC 2026","Thu Feb 26 09:01:49 UTC 2026","3","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testLoginNewUser","Login Owner user",""
"broken","Thu Feb 26 09:01:48 UTC 2026","Thu Feb 26 09:01:48 UTC 2026","65","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testRegisterNewUser","Register Owner user",""
"broken","Thu Feb 26 09:01:49 UTC 2026","Thu Feb 26 09:01:49 UTC 2026","555","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
