"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 17 13:58:02 UTC 2026","Fri Jul 17 13:58:02 UTC 2026","480","","Users","","com.openframe.test.tests.UserTest","testDeleteOwner","Check that Owner User cannot be deleted",""
"passed","Fri Jul 17 13:57:54 UTC 2026","Fri Jul 17 13:57:59 UTC 2026","4856","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testLoginNewUser","Login Owner user",""
"passed","Fri Jul 17 13:58:06 UTC 2026","Fri Jul 17 13:58:06 UTC 2026","466","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteUser","Invite New user",""
"passed","Fri Jul 17 13:57:51 UTC 2026","Fri Jul 17 13:57:54 UTC 2026","3140","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testRegisterNewUser","Register Owner user",""
"passed","Fri Jul 17 13:58:01 UTC 2026","Fri Jul 17 13:58:01 UTC 2026","167","","Organizations","","com.openframe.test.tests.OrganizationsTest","testRetrieveOrganization","Get Organization",""
"passed","Fri Jul 17 13:58:07 UTC 2026","Fri Jul 17 13:58:07 UTC 2026","58","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptRevokedInvitation","Check that Revoked Invitation cannot be accepted",""
"passed","Fri Jul 17 13:58:07 UTC 2026","Fri Jul 17 13:58:07 UTC 2026","134","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testRevokeInvitation","Revoke Invitation",""
"passed","Fri Jul 17 13:58:07 UTC 2026","Fri Jul 17 13:58:07 UTC 2026","100","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteDeletedUser","Check that Deleted User can be invited",""
"passed","Fri Jul 17 13:58:01 UTC 2026","Fri Jul 17 13:58:01 UTC 2026","159","","Organizations","","com.openframe.test.tests.OrganizationsTest","testListOrganizations","List Organizations",""
"passed","Fri Jul 17 13:58:05 UTC 2026","Fri Jul 17 13:58:06 UTC 2026","634","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogout","Verify logout",""
"broken","Fri Jul 17 13:58:09 UTC 2026","Fri Jul 17 13:58:10 UTC 2026","499","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPassword","Verify that user can reset password",""
"passed","Fri Jul 17 13:58:07 UTC 2026","Fri Jul 17 13:58:07 UTC 2026","52","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegistrationClosed","Check that user cannot register when Registration is Closed",""
"passed","Fri Jul 17 13:58:07 UTC 2026","Fri Jul 17 13:58:07 UTC 2026","91","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegisterExistingUser","Check that user cannot register with Already Registered email",""
"passed","Fri Jul 17 13:58:07 UTC 2026","Fri Jul 17 13:58:07 UTC 2026","72","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptAcceptedInvitation","Check that already Accepted Invitation cannot be accepted",""
"passed","Fri Jul 17 13:58:02 UTC 2026","Fri Jul 17 13:58:02 UTC 2026","344","","Organizations","","com.openframe.test.tests.OrganizationsTest","testArchiveOrganization","Archive Organization",""
"passed","Fri Jul 17 13:58:07 UTC 2026","Fri Jul 17 13:58:07 UTC 2026","252","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testDeleteUser","Delete Admin User",""
"passed","Fri Jul 17 13:58:01 UTC 2026","Fri Jul 17 13:58:02 UTC 2026","264","","Organizations","","com.openframe.test.tests.OrganizationsTest","testUpdateOrganization","Update Organization",""
"passed","Fri Jul 17 13:58:03 UTC 2026","Fri Jul 17 13:58:03 UTC 2026","40","","Users","","com.openframe.test.tests.UserTest","testListUsers","List users",""
"passed","Fri Jul 17 13:58:04 UTC 2026","Fri Jul 17 13:58:05 UTC 2026","774","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogoutWithoutTenantId","Verify logout without tenantId",""
"passed","Fri Jul 17 13:58:02 UTC 2026","Fri Jul 17 13:58:03 UTC 2026","166","","Users","","com.openframe.test.tests.UserTest","testGetUsers","Get user",""
"passed","Fri Jul 17 13:58:06 UTC 2026","Fri Jul 17 13:58:07 UTC 2026","226","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptInvitation","Accept Invitation",""
"passed","Fri Jul 17 13:57:59 UTC 2026","Fri Jul 17 13:58:00 UTC 2026","1368","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
"passed","Fri Jul 17 13:58:07 UTC 2026","Fri Jul 17 13:58:09 UTC 2026","1804","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPasswordWithInvalidToken","Verify that user cannot reset password with invalid token",""
"passed","Fri Jul 17 13:58:03 UTC 2026","Fri Jul 17 13:58:04 UTC 2026","903","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokens","Verify refresh of access tokens",""
"passed","Fri Jul 17 13:58:07 UTC 2026","Fri Jul 17 13:58:07 UTC 2026","55","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteActiveUser","Check that Existing User cannot be invited",""
"passed","Fri Jul 17 13:58:00 UTC 2026","Fri Jul 17 13:58:01 UTC 2026","646","","Organizations","","com.openframe.test.tests.OrganizationsTest","testCreateOrganization","Create Organization",""
"passed","Fri Jul 17 13:58:04 UTC 2026","Fri Jul 17 13:58:04 UTC 2026","858","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokensWithoutTenantId","Verify refresh of access tokens without tenantId",""
