"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 30 21:28:36 UTC 2026","Thu Apr 30 21:28:36 UTC 2026","239","","Organizations","","com.openframe.test.tests.OrganizationsTest","testListOrganizations","List Organizations",""
"passed","Thu Apr 30 21:28:44 UTC 2026","Thu Apr 30 21:28:44 UTC 2026","161","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegisterExistingUser","Check that user cannot register with Already Registered email",""
"passed","Thu Apr 30 21:28:43 UTC 2026","Thu Apr 30 21:28:43 UTC 2026","399","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptInvitation","Accept Invitation",""
"passed","Thu Apr 30 21:28:36 UTC 2026","Thu Apr 30 21:28:36 UTC 2026","201","","Organizations","","com.openframe.test.tests.OrganizationsTest","testRetrieveOrganization","Get Organization",""
"passed","Thu Apr 30 21:28:44 UTC 2026","Thu Apr 30 21:28:44 UTC 2026","216","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPasswordWithInvalidToken","Verify that user cannot reset password with invalid token",""
"passed","Thu Apr 30 21:28:44 UTC 2026","Thu Apr 30 21:28:44 UTC 2026","56","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteDeletedUser","Check that Deleted User can be invited",""
"passed","Thu Apr 30 21:28:39 UTC 2026","Thu Apr 30 21:28:40 UTC 2026","1351","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokensWithoutTenantId","Verify refresh of access tokens without tenantId",""
"passed","Thu Apr 30 21:28:37 UTC 2026","Thu Apr 30 21:28:38 UTC 2026","166","","Users","","com.openframe.test.tests.UserTest","testGetUsers","Get user",""
"passed","Thu Apr 30 21:28:42 UTC 2026","Thu Apr 30 21:28:43 UTC 2026","501","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteUser","Invite New user",""
"passed","Thu Apr 30 21:28:37 UTC 2026","Thu Apr 30 21:28:37 UTC 2026","489","","Users","","com.openframe.test.tests.UserTest","testDeleteOwner","Check that Owner User cannot be deleted",""
"passed","Thu Apr 30 21:28:40 UTC 2026","Thu Apr 30 21:28:41 UTC 2026","933","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogoutWithoutTenantId","Verify logout without tenantId",""
"passed","Thu Apr 30 21:28:36 UTC 2026","Thu Apr 30 21:28:36 UTC 2026","340","","Organizations","","com.openframe.test.tests.OrganizationsTest","testUpdateOrganization","Update Organization",""
"passed","Thu Apr 30 21:28:33 UTC 2026","Thu Apr 30 21:28:35 UTC 2026","1940","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
"passed","Thu Apr 30 21:28:43 UTC 2026","Thu Apr 30 21:28:43 UTC 2026","133","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testRevokeInvitation","Revoke Invitation",""
"passed","Thu Apr 30 21:28:41 UTC 2026","Thu Apr 30 21:28:42 UTC 2026","1069","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogout","Verify logout",""
"passed","Thu Apr 30 21:28:43 UTC 2026","Thu Apr 30 21:28:43 UTC 2026","190","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptAcceptedInvitation","Check that already Accepted Invitation cannot be accepted",""
"passed","Thu Apr 30 21:28:22 UTC 2026","Thu Apr 30 21:28:27 UTC 2026","4176","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testRegisterNewUser","Register Owner user",""
"passed","Thu Apr 30 21:28:44 UTC 2026","Thu Apr 30 21:28:44 UTC 2026","60","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegistrationClosed","Check that user cannot register when Registration is Closed",""
"passed","Thu Apr 30 21:28:38 UTC 2026","Thu Apr 30 21:28:39 UTC 2026","1246","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokens","Verify refresh of access tokens",""
"passed","Thu Apr 30 21:28:43 UTC 2026","Thu Apr 30 21:28:44 UTC 2026","72","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptRevokedInvitation","Check that Revoked Invitation cannot be accepted",""
"passed","Thu Apr 30 21:28:44 UTC 2026","Thu Apr 30 21:28:44 UTC 2026","63","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteActiveUser","Check that Existing User cannot be invited",""
"passed","Thu Apr 30 21:28:38 UTC 2026","Thu Apr 30 21:28:38 UTC 2026","100","","Users","","com.openframe.test.tests.UserTest","testListUsers","List users",""
"passed","Thu Apr 30 21:28:27 UTC 2026","Thu Apr 30 21:28:33 UTC 2026","6226","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testLoginNewUser","Login Owner user",""
"passed","Thu Apr 30 21:28:35 UTC 2026","Thu Apr 30 21:28:36 UTC 2026","744","","Organizations","","com.openframe.test.tests.OrganizationsTest","testCreateOrganization","Create Organization",""
"passed","Thu Apr 30 21:28:44 UTC 2026","Thu Apr 30 21:28:45 UTC 2026","929","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPassword","Verify that user can reset password",""
"passed","Thu Apr 30 21:28:36 UTC 2026","Thu Apr 30 21:28:37 UTC 2026","430","","Organizations","","com.openframe.test.tests.OrganizationsTest","testArchiveOrganization","Archive Organization",""
"passed","Thu Apr 30 21:28:44 UTC 2026","Thu Apr 30 21:28:44 UTC 2026","153","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testDeleteUser","Delete Admin User",""
