"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 28 10:12:34 UTC 2026","Thu May 28 10:12:34 UTC 2026","616","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteUser","Invite New user",""
"passed","Thu May 28 10:12:30 UTC 2026","Thu May 28 10:12:30 UTC 2026","74","","Users","","com.openframe.test.tests.UserTest","testListUsers","List users",""
"passed","Thu May 28 10:12:35 UTC 2026","Thu May 28 10:12:35 UTC 2026","73","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteDeletedUser","Check that Deleted User can be invited",""
"passed","Thu May 28 10:12:28 UTC 2026","Thu May 28 10:12:28 UTC 2026","182","","Organizations","","com.openframe.test.tests.OrganizationsTest","testRetrieveOrganization","Get Organization",""
"passed","Thu May 28 10:12:30 UTC 2026","Thu May 28 10:12:30 UTC 2026","191","","Users","","com.openframe.test.tests.UserTest","testGetUsers","Get user",""
"passed","Thu May 28 10:12:29 UTC 2026","Thu May 28 10:12:30 UTC 2026","558","","Users","","com.openframe.test.tests.UserTest","testDeleteOwner","Check that Owner User cannot be deleted",""
"passed","Thu May 28 10:12:35 UTC 2026","Thu May 28 10:12:35 UTC 2026","63","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptRevokedInvitation","Check that Revoked Invitation cannot be accepted",""
"passed","Thu May 28 10:12:28 UTC 2026","Thu May 28 10:12:28 UTC 2026","230","","Organizations","","com.openframe.test.tests.OrganizationsTest","testListOrganizations","List Organizations",""
"passed","Thu May 28 10:12:35 UTC 2026","Thu May 28 10:12:35 UTC 2026","153","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegisterExistingUser","Check that user cannot register with Already Registered email",""
"passed","Thu May 28 10:12:34 UTC 2026","Thu May 28 10:12:35 UTC 2026","279","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptInvitation","Accept Invitation",""
"passed","Thu May 28 10:12:31 UTC 2026","Thu May 28 10:12:32 UTC 2026","1085","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokensWithoutTenantId","Verify refresh of access tokens without tenantId",""
"passed","Thu May 28 10:12:32 UTC 2026","Thu May 28 10:12:33 UTC 2026","964","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogoutWithoutTenantId","Verify logout without tenantId",""
"passed","Thu May 28 10:12:35 UTC 2026","Thu May 28 10:12:35 UTC 2026","91","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegistrationClosed","Check that user cannot register when Registration is Closed",""
"passed","Thu May 28 10:12:35 UTC 2026","Thu May 28 10:12:35 UTC 2026","77","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptAcceptedInvitation","Check that already Accepted Invitation cannot be accepted",""
"passed","Thu May 28 10:12:28 UTC 2026","Thu May 28 10:12:29 UTC 2026","272","","Organizations","","com.openframe.test.tests.OrganizationsTest","testUpdateOrganization","Update Organization",""
"passed","Thu May 28 10:12:33 UTC 2026","Thu May 28 10:12:34 UTC 2026","818","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogout","Verify logout",""
"passed","Thu May 28 10:12:35 UTC 2026","Thu May 28 10:12:36 UTC 2026","136","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPasswordWithInvalidToken","Verify that user cannot reset password with invalid token",""
"passed","Thu May 28 10:12:29 UTC 2026","Thu May 28 10:12:29 UTC 2026","428","","Organizations","","com.openframe.test.tests.OrganizationsTest","testArchiveOrganization","Archive Organization",""
"passed","Thu May 28 10:12:35 UTC 2026","Thu May 28 10:12:35 UTC 2026","126","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testDeleteUser","Delete Admin User",""
"passed","Thu May 28 10:12:27 UTC 2026","Thu May 28 10:12:28 UTC 2026","846","","Organizations","","com.openframe.test.tests.OrganizationsTest","testCreateOrganization","Create Organization",""
"passed","Thu May 28 10:12:30 UTC 2026","Thu May 28 10:12:31 UTC 2026","926","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokens","Verify refresh of access tokens",""
"passed","Thu May 28 10:12:25 UTC 2026","Thu May 28 10:12:27 UTC 2026","1674","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
"passed","Thu May 28 10:12:35 UTC 2026","Thu May 28 10:12:35 UTC 2026","56","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteActiveUser","Check that Existing User cannot be invited",""
"passed","Thu May 28 10:12:36 UTC 2026","Thu May 28 10:12:37 UTC 2026","1813","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPassword","Verify that user can reset password",""
"passed","Thu May 28 10:12:35 UTC 2026","Thu May 28 10:12:35 UTC 2026","124","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testRevokeInvitation","Revoke Invitation",""
"passed","Thu May 28 10:12:20 UTC 2026","Thu May 28 10:12:25 UTC 2026","5762","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testLoginNewUser","Login Owner user",""
"passed","Thu May 28 10:12:12 UTC 2026","Thu May 28 10:12:20 UTC 2026","7204","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testRegisterNewUser","Register Owner user",""
