"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"OpenFrame Tests","GraphQL API","","0","0","8","0","0"
"OpenFrame Tests","Agent Registration","","2","0","1","0","0"
"OpenFrame Tests","","","0","0","3","0","0"
"OpenFrame Tests","GraphQL Device Queries","","2","0","12","0","0"
"OpenFrame Tests","End-to-End Device Processing","Device Filter Aggregation","1","0","0","0","0"
"","GraphQL Device Queries","","0","0","0","1","0"
"","End-to-End Log Processing","","0","0","0","1","0"
"OpenFrame Tests","End-to-End Device Processing","","1","0","0","0","0"
