"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 26 16:14:25 UTC 2025","Wed Nov 26 16:14:27 UTC 2025","2161","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldFailRegistrationWithDuplicateEmail","Should fail registration with duplicate email",""
"passed","Wed Nov 26 16:14:23 UTC 2025","Wed Nov 26 16:14:23 UTC 2025","136","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","agentRegistrationFailsWithInvalidKey","Agent registration fails with invalid management key","Agent registration fails with invalid management key"
"passed","Wed Nov 26 16:14:30 UTC 2025","Wed Nov 26 16:14:30 UTC 2025","97","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldFailRegistrationWhenOrganizationRegistrationIsClosed","Should fail registration when organization registration is closed",""
"passed","Wed Nov 26 16:14:22 UTC 2025","Wed Nov 26 16:14:23 UTC 2025","485","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logsQueryableThroughPipeline","Logs are queryable through pipeline","Verify logs are queryable through GraphQL from Cassandra and Pinot"
"passed","Wed Nov 26 16:14:24 UTC 2025","Wed Nov 26 16:14:24 UTC 2025","101","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceFiltersWorkCorrectly","Device filters work correctly","Verify device filters work correctly"
"failed","Wed Nov 26 16:14:27 UTC 2025","Wed Nov 26 16:14:30 UTC 2025","3537","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldRegisterUserWithValidData","Should successfully register user with valid data",""
"failed","Wed Nov 26 16:14:20 UTC 2025","Wed Nov 26 16:14:24 UTC 2025","3610","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceQueryStabilityAfterRegistration","Device query stability after registration","Verify device remains queryable after registration"
"passed","Wed Nov 26 16:14:16 UTC 2025","Wed Nov 26 16:14:20 UTC 2025","4185","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceSearchWorksCorrectly","Device search works correctly","Verify device search functionality works"
"passed","Wed Nov 26 16:14:20 UTC 2025","Wed Nov 26 16:14:20 UTC 2025","234","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","devicesQueryableThroughPipeline","Devices queryable through GraphQL pipeline","Verify devices are queryable through GraphQL from MongoDB"
"failed","Wed Nov 26 16:14:31 UTC 2025","Wed Nov 26 16:14:34 UTC 2025","3652","","Device Pipeline E2E","","com.openframe.tests.e2e.DevicePipelineTest","deviceFiltersAggregateCorrectly","deviceFiltersAggregateCorrectly()","Verify device filters aggregate correctly in Pinot"
"passed","Wed Nov 26 16:14:23 UTC 2025","Wed Nov 26 16:14:23 UTC 2025","249","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logPaginationWorksCorrectly","Log pagination works correctly","Verify log pagination works correctly"
"passed","Wed Nov 26 16:14:24 UTC 2025","Wed Nov 26 16:14:24 UTC 2025","52","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","graphQLQueryValidatesRequiredFields","GraphQL query validates required fields","GraphQL query validates required fields"
"passed","Wed Nov 26 16:14:22 UTC 2025","Wed Nov 26 16:14:22 UTC 2025","63","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logSearchWorksCorrectly","Log search works correctly","Verify log search functionality works"
"passed","Wed Nov 26 16:14:23 UTC 2025","Wed Nov 26 16:14:30 UTC 2025","6684","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","registeredAgentCanObtainOAuthToken","Registered agent can obtain OAuth token","Registered agent can obtain OAuth token"
"failed","Wed Nov 26 16:14:30 UTC 2025","Wed Nov 26 16:14:35 UTC 2025","4706","","Check login Flow ","","com.openframe.tests.restapi.CheckLoginTest","shouldLoginWithMinimalSteps","Should complete login flow",""
"passed","Wed Nov 26 16:14:24 UTC 2025","Wed Nov 26 16:14:24 UTC 2025","89","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceStatusQueriesWorkCorrectly","Device status queries work correctly","Verify device status updates are reflected"
