"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 13 18:23:02 UTC 2025","Thu Nov 13 18:23:02 UTC 2025","0","","Log Event Pipeline E2E","","com.openframe.tests.e2e.LogEventPipelineTest","logEventFlowsThroughPipeline","logEventFlowsThroughPipeline(ToolTestData)","Verify log events flow through the complete pipeline to GraphQL"
"passed","Thu Nov 13 18:22:54 UTC 2025","Thu Nov 13 18:22:54 UTC 2025","186","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logPaginationWorksCorrectly","Log pagination works correctly","Verify log pagination works correctly"
"passed","Thu Nov 13 18:22:47 UTC 2025","Thu Nov 13 18:22:53 UTC 2025","6637","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logFiltersAggregateCorrectly","Log filters aggregate correctly","Verify log filters aggregate correctly from Pinot"
"failed","Thu Nov 13 18:22:58 UTC 2025","Thu Nov 13 18:23:02 UTC 2025","4654","","Check login Flow ","","com.openframe.tests.restapi.CheckLoginTest","shouldLoginWithMinimalSteps","Should complete login flow",""
"passed","Thu Nov 13 18:22:55 UTC 2025","Thu Nov 13 18:22:55 UTC 2025","59","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceStatusQueriesWorkCorrectly","Device status queries work correctly","Verify device status updates are reflected"
"skipped","Thu Nov 13 18:22:47 UTC 2025","Thu Nov 13 18:22:47 UTC 2025","1","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceRegistrationStoresAndIndexesCorrectly","Device registration stores and indexes correctly","Verify device registration stores in MongoDB and indexes in Pinot"
"failed","Thu Nov 13 18:22:58 UTC 2025","Thu Nov 13 18:23:01 UTC 2025","3542","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldRegisterUserWithValidData","Should successfully register user with valid data",""
"failed","Thu Nov 13 18:23:05 UTC 2025","Thu Nov 13 18:23:10 UTC 2025","5316","","Device Pipeline E2E","","com.openframe.tests.e2e.DevicePipelineTest","deviceRegistrationFlowsThroughPipeline","deviceRegistrationFlowsThroughPipeline()","Verify device registration flows through complete pipeline to MongoDB and Pinot"
"passed","Thu Nov 13 18:22:53 UTC 2025","Thu Nov 13 18:22:54 UTC 2025","296","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logsQueryableThroughPipeline","Logs are queryable through pipeline","Verify logs are queryable through GraphQL from Cassandra and Pinot"
"failed","Thu Nov 13 18:22:54 UTC 2025","Thu Nov 13 18:22:57 UTC 2025","3302","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","registeredAgentCanObtainOAuthToken","Registered agent can obtain OAuth token","Registered agent can obtain OAuth token"
"passed","Thu Nov 13 18:22:56 UTC 2025","Thu Nov 13 18:22:58 UTC 2025","2034","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldFailRegistrationWithDuplicateEmail","Should fail registration with duplicate email",""
"passed","Thu Nov 13 18:22:54 UTC 2025","Thu Nov 13 18:22:54 UTC 2025","121","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","agentRegistrationFailsWithInvalidKey","Agent registration fails with invalid management key","Agent registration fails with invalid management key"
"passed","Thu Nov 13 18:22:52 UTC 2025","Thu Nov 13 18:22:52 UTC 2025","79","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","devicePaginationWorksCorrectly","Device pagination works correctly","Verify device pagination works correctly"
"passed","Thu Nov 13 18:22:55 UTC 2025","Thu Nov 13 18:22:55 UTC 2025","107","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceFiltersWorkCorrectly","Device filters work correctly","Verify device filters work correctly"
"passed","Thu Nov 13 18:22:55 UTC 2025","Thu Nov 13 18:22:55 UTC 2025","53","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","graphQLQueryValidatesRequiredFields","GraphQL query validates required fields","GraphQL query validates required fields"
"passed","Thu Nov 13 18:22:47 UTC 2025","Thu Nov 13 18:22:51 UTC 2025","4695","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceSearchWorksCorrectly","Device search works correctly","Verify device search functionality works"
"passed","Thu Nov 13 18:23:01 UTC 2025","Thu Nov 13 18:23:01 UTC 2025","74","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldFailRegistrationWhenOrganizationRegistrationIsClosed","Should fail registration when organization registration is closed",""
"passed","Thu Nov 13 18:22:53 UTC 2025","Thu Nov 13 18:22:53 UTC 2025","51","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logSearchWorksCorrectly","Log search works correctly","Verify log search functionality works"
"failed","Thu Nov 13 18:22:54 UTC 2025","Thu Nov 13 18:22:57 UTC 2025","3270","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","multipleAgentsCanRegisterConcurrently","Multiple agents can register concurrently","Multiple agents can register concurrently"
"failed","Thu Nov 13 18:22:52 UTC 2025","Thu Nov 13 18:22:55 UTC 2025","3381","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceQueryStabilityAfterRegistration","Device query stability after registration","Verify device remains queryable after registration"
"failed","Thu Nov 13 18:23:01 UTC 2025","Thu Nov 13 18:23:05 UTC 2025","3474","","Device Pipeline E2E","","com.openframe.tests.e2e.DevicePipelineTest","deviceFiltersAggregateCorrectly","deviceFiltersAggregateCorrectly()","Verify device filters aggregate correctly in Pinot"
"passed","Thu Nov 13 18:22:51 UTC 2025","Thu Nov 13 18:22:52 UTC 2025","278","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","devicesQueryableThroughPipeline","Devices queryable through GraphQL pipeline","Verify devices are queryable through GraphQL from MongoDB"
