"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 29 01:00:37 UTC 2025","Mon Dec 29 01:00:37 UTC 2025","141","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceFiltersWorkCorrectly","Device filters work correctly","Verify device filters work correctly"
"passed","Mon Dec 29 01:00:36 UTC 2025","Mon Dec 29 01:00:36 UTC 2025","460","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logsQueryableThroughPipeline","Logs are queryable through pipeline","Verify logs are queryable through GraphQL from Cassandra and Pinot"
"passed","Mon Dec 29 01:00:33 UTC 2025","Mon Dec 29 01:00:33 UTC 2025","67","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","devicePaginationWorksCorrectly","Device pagination works correctly","Verify device pagination works correctly"
"passed","Mon Dec 29 01:00:36 UTC 2025","Mon Dec 29 01:00:36 UTC 2025","255","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logPaginationWorksCorrectly","Log pagination works correctly","Verify log pagination works correctly"
"failed","Mon Dec 29 01:00:33 UTC 2025","Mon Dec 29 01:00:37 UTC 2025","3525","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceQueryStabilityAfterRegistration","Device query stability after registration","Verify device remains queryable after registration"
"passed","Mon Dec 29 01:00:35 UTC 2025","Mon Dec 29 01:00:36 UTC 2025","68","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logSearchWorksCorrectly","Log search works correctly","Verify log search functionality works"
"failed","Mon Dec 29 01:00:49 UTC 2025","Mon Dec 29 01:00:55 UTC 2025","5369","","Device Pipeline E2E","","com.openframe.tests.e2e.DevicePipelineTest","deviceRegistrationFlowsThroughPipeline","deviceRegistrationFlowsThroughPipeline()","Verify device registration flows through complete pipeline to MongoDB and Pinot"
"passed","Mon Dec 29 01:00:28 UTC 2025","Mon Dec 29 01:00:33 UTC 2025","5095","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceSearchWorksCorrectly","Device search works correctly","Verify device search functionality works"
"passed","Mon Dec 29 01:00:33 UTC 2025","Mon Dec 29 01:00:33 UTC 2025","335","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","devicesQueryableThroughPipeline","Devices queryable through GraphQL pipeline","Verify devices are queryable through GraphQL from MongoDB"
"failed","Mon Dec 29 01:00:36 UTC 2025","Mon Dec 29 01:00:40 UTC 2025","3287","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","registeredAgentCanObtainOAuthToken","Registered agent can obtain OAuth token","Registered agent can obtain OAuth token"
"failed","Mon Dec 29 01:00:45 UTC 2025","Mon Dec 29 01:00:49 UTC 2025","3897","","Device Pipeline E2E","","com.openframe.tests.e2e.DevicePipelineTest","deviceFiltersAggregateCorrectly","deviceFiltersAggregateCorrectly()","Verify device filters aggregate correctly in Pinot"
"passed","Mon Dec 29 01:00:37 UTC 2025","Mon Dec 29 01:00:37 UTC 2025","111","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceStatusQueriesWorkCorrectly","Device status queries work correctly","Verify device status updates are reflected"
"skipped","Mon Dec 29 01:00:48 UTC 2025","Mon Dec 29 01:00:48 UTC 2025","0","","Log Event Pipeline E2E","","com.openframe.tests.e2e.LogEventPipelineTest","logEventFlowsThroughPipeline","logEventFlowsThroughPipeline(ToolTestData)","Verify log events flow through the complete pipeline to GraphQL"
"passed","Mon Dec 29 01:00:38 UTC 2025","Mon Dec 29 01:00:40 UTC 2025","2257","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldFailRegistrationWithDuplicateEmail","Should fail registration with duplicate email",""
"passed","Mon Dec 29 01:00:36 UTC 2025","Mon Dec 29 01:00:45 UTC 2025","8969","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","multipleAgentsCanRegisterConcurrently","Multiple agents can register concurrently","Multiple agents can register concurrently"
"skipped","Mon Dec 29 01:00:28 UTC 2025","Mon Dec 29 01:00:28 UTC 2025","3","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceRegistrationStoresAndIndexesCorrectly","Device registration stores and indexes correctly","Verify device registration stores in MongoDB and indexes in Pinot"
"passed","Mon Dec 29 01:00:43 UTC 2025","Mon Dec 29 01:00:44 UTC 2025","139","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldFailRegistrationWhenOrganizationRegistrationIsClosed","Should fail registration when organization registration is closed",""
"passed","Mon Dec 29 01:00:37 UTC 2025","Mon Dec 29 01:00:37 UTC 2025","59","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","graphQLQueryValidatesRequiredFields","GraphQL query validates required fields","GraphQL query validates required fields"
"failed","Mon Dec 29 01:00:44 UTC 2025","Mon Dec 29 01:00:48 UTC 2025","4167","","Check login Flow ","","com.openframe.tests.restapi.CheckLoginTest","shouldLoginWithMinimalSteps","Should complete login flow",""
"failed","Mon Dec 29 01:00:40 UTC 2025","Mon Dec 29 01:00:43 UTC 2025","3543","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldRegisterUserWithValidData","Should successfully register user with valid data",""
"passed","Mon Dec 29 01:00:36 UTC 2025","Mon Dec 29 01:00:36 UTC 2025","143","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","agentRegistrationFailsWithInvalidKey","Agent registration fails with invalid management key","Agent registration fails with invalid management key"
"passed","Mon Dec 29 01:00:28 UTC 2025","Mon Dec 29 01:00:35 UTC 2025","7749","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logFiltersAggregateCorrectly","Log filters aggregate correctly","Verify log filters aggregate correctly from Pinot"
