"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 20 13:31:17 UTC 2026","Fri Feb 20 13:31:21 UTC 2026","3746","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testRegisterNewUser","Register Owner user",""
"passed","Fri Feb 20 13:31:26 UTC 2026","Fri Feb 20 13:31:27 UTC 2026","1030","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
"passed","Fri Feb 20 13:31:21 UTC 2026","Fri Feb 20 13:31:26 UTC 2026","4699","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testLoginNewUser","Login Owner user",""
