"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 10:10:10 UTC 2026","Wed Jul 15 10:10:12 UTC 2026","2153","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPasswordWithInvalidToken","Verify that user cannot reset password with invalid token",""
"passed","Wed Jul 15 10:10:02 UTC 2026","Wed Jul 15 10:10:03 UTC 2026","274","","Organizations","","com.openframe.test.tests.OrganizationsTest","testUpdateOrganization","Update Organization",""
"passed","Wed Jul 15 10:10:10 UTC 2026","Wed Jul 15 10:10:10 UTC 2026","38","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegistrationClosed","Check that user cannot register when Registration is Closed",""
"passed","Wed Jul 15 10:10:03 UTC 2026","Wed Jul 15 10:10:04 UTC 2026","563","","Users","","com.openframe.test.tests.UserTest","testDeleteOwner","Check that Owner User cannot be deleted",""
"passed","Wed Jul 15 10:10:06 UTC 2026","Wed Jul 15 10:10:07 UTC 2026","972","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogoutWithoutTenantId","Verify logout without tenantId",""
"passed","Wed Jul 15 10:10:09 UTC 2026","Wed Jul 15 10:10:09 UTC 2026","463","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptInvitation","Accept Invitation",""
"passed","Wed Jul 15 10:10:10 UTC 2026","Wed Jul 15 10:10:10 UTC 2026","54","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptRevokedInvitation","Check that Revoked Invitation cannot be accepted",""
"passed","Wed Jul 15 10:10:01 UTC 2026","Wed Jul 15 10:10:02 UTC 2026","710","","Organizations","","com.openframe.test.tests.OrganizationsTest","testCreateOrganization","Create Organization",""
"passed","Wed Jul 15 10:10:09 UTC 2026","Wed Jul 15 10:10:10 UTC 2026","130","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testRevokeInvitation","Revoke Invitation",""
"passed","Wed Jul 15 10:10:02 UTC 2026","Wed Jul 15 10:10:02 UTC 2026","232","","Organizations","","com.openframe.test.tests.OrganizationsTest","testListOrganizations","List Organizations",""
"passed","Wed Jul 15 10:09:54 UTC 2026","Wed Jul 15 10:09:59 UTC 2026","5443","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testLoginNewUser","Login Owner user",""
"passed","Wed Jul 15 10:10:09 UTC 2026","Wed Jul 15 10:10:09 UTC 2026","89","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testAcceptAcceptedInvitation","Check that already Accepted Invitation cannot be accepted",""
"passed","Wed Jul 15 10:09:59 UTC 2026","Wed Jul 15 10:10:01 UTC 2026","1629","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
"passed","Wed Jul 15 10:10:04 UTC 2026","Wed Jul 15 10:10:04 UTC 2026","100","","Users","","com.openframe.test.tests.UserTest","testListUsers","List users",""
"passed","Wed Jul 15 10:10:10 UTC 2026","Wed Jul 15 10:10:10 UTC 2026","85","","Owner User registration - negative","","com.openframe.test.tests.OwnerRegistrationNegativeTest","testRegisterExistingUser","Check that user cannot register with Already Registered email",""
"passed","Wed Jul 15 10:10:10 UTC 2026","Wed Jul 15 10:10:10 UTC 2026","100","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteDeletedUser","Check that Deleted User can be invited",""
"broken","Wed Jul 15 10:10:12 UTC 2026","Wed Jul 15 10:10:13 UTC 2026","880","","Reset Password","","com.openframe.test.tests.ResetPasswordTest","testResetPassword","Verify that user can reset password",""
"passed","Wed Jul 15 10:09:50 UTC 2026","Wed Jul 15 10:09:54 UTC 2026","4075","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testRegisterNewUser","Register Owner user",""
"passed","Wed Jul 15 10:10:08 UTC 2026","Wed Jul 15 10:10:09 UTC 2026","556","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteUser","Invite New user",""
"passed","Wed Jul 15 10:10:05 UTC 2026","Wed Jul 15 10:10:06 UTC 2026","1264","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokensWithoutTenantId","Verify refresh of access tokens without tenantId",""
"passed","Wed Jul 15 10:10:10 UTC 2026","Wed Jul 15 10:10:10 UTC 2026","198","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testDeleteUser","Delete Admin User",""
"passed","Wed Jul 15 10:10:03 UTC 2026","Wed Jul 15 10:10:03 UTC 2026","420","","Organizations","","com.openframe.test.tests.OrganizationsTest","testArchiveOrganization","Archive Organization",""
"passed","Wed Jul 15 10:10:10 UTC 2026","Wed Jul 15 10:10:10 UTC 2026","68","","Invitations","","com.openframe.test.tests.UserInvitationsTest","testInviteActiveUser","Check that Existing User cannot be invited",""
"passed","Wed Jul 15 10:10:02 UTC 2026","Wed Jul 15 10:10:02 UTC 2026","174","","Organizations","","com.openframe.test.tests.OrganizationsTest","testRetrieveOrganization","Get Organization",""
"passed","Wed Jul 15 10:10:04 UTC 2026","Wed Jul 15 10:10:05 UTC 2026","1190","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testRefreshTokens","Verify refresh of access tokens",""
"passed","Wed Jul 15 10:10:07 UTC 2026","Wed Jul 15 10:10:08 UTC 2026","1083","","Test Access tokens","","com.openframe.test.tests.AuthTokensTest","testLogout","Verify logout",""
"passed","Wed Jul 15 10:10:04 UTC 2026","Wed Jul 15 10:10:04 UTC 2026","103","","Users","","com.openframe.test.tests.UserTest","testGetUsers","Get user",""
