"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 18 07:35:30 UTC 2026","Wed Feb 18 07:35:34 UTC 2026","3665","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testRegisterNewUser","Register Owner user",""
"passed","Wed Feb 18 07:35:34 UTC 2026","Wed Feb 18 07:35:40 UTC 2026","5953","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testLoginNewUser","Login Owner user",""
"passed","Wed Feb 18 07:35:40 UTC 2026","Wed Feb 18 07:35:42 UTC 2026","1639","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
