"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 11 17:42:52 UTC 2025","Thu Dec 11 17:42:52 UTC 2025","98","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceFiltersWorkCorrectly","Device filters work correctly","Verify device filters work correctly"
"passed","Thu Dec 11 17:42:55 UTC 2025","Thu Dec 11 17:42:57 UTC 2025","2451","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldFailRegistrationWithDuplicateEmail","Should fail registration with duplicate email",""
"passed","Thu Dec 11 17:42:49 UTC 2025","Thu Dec 11 17:42:49 UTC 2025","92","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","devicePaginationWorksCorrectly","Device pagination works correctly","Verify device pagination works correctly"
"passed","Thu Dec 11 17:43:01 UTC 2025","Thu Dec 11 17:43:01 UTC 2025","70","","User Registration API Tests","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldFailRegistrationWhenOrganizationRegistrationIsClosed","Should fail registration when organization registration is closed",""
"skipped","Thu Dec 11 17:42:43 UTC 2025","Thu Dec 11 17:42:43 UTC 2025","2","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceRegistrationStoresAndIndexesCorrectly","Device registration stores and indexes correctly","Verify device registration stores in MongoDB and indexes in Pinot"
"passed","Thu Dec 11 17:42:51 UTC 2025","Thu Dec 11 17:42:51 UTC 2025","59","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logSearchWorksCorrectly","Log search works correctly","Verify log search functionality works"
"passed","Thu Dec 11 17:42:52 UTC 2025","Thu Dec 11 17:42:52 UTC 2025","51","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","graphQLQueryValidatesRequiredFields","GraphQL query validates required fields","GraphQL query validates required fields"
"passed","Thu Dec 11 17:42:43 UTC 2025","Thu Dec 11 17:42:51 UTC 2025","7275","","GraphQL Log Query Integration Test","","com.openframe.tests.integration.GraphQLLogQueryTest","logFiltersAggregateCorrectly","Log filters aggregate correctly","Verify log filters aggregate correctly from Pinot"
"failed","Thu Dec 11 17:43:02 UTC 2025","Thu Dec 11 17:43:09 UTC 2025","7326","","Device Pipeline E2E","","com.openframe.tests.e2e.DevicePipelineTest","deviceRegistrationFlowsThroughPipeline","deviceRegistrationFlowsThroughPipeline()","Verify device registration flows through complete pipeline to MongoDB and Pinot"
"failed","Thu Dec 11 17:42:52 UTC 2025","Thu Dec 11 17:42:56 UTC 2025","3253","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","multipleAgentsCanRegisterConcurrently","Multiple agents can register concurrently","Multiple agents can register concurrently"
