"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Feb 01 05:57:12 UTC 2026","Sun Feb 01 05:57:12 UTC 2026","0","","Logs","","com.openframe.tests.LogsTest","testGetLogFilters","Get log filters",""
"passed","Sun Feb 01 05:57:07 UTC 2026","Sun Feb 01 05:57:07 UTC 2026","137","","Owner User registration - negative","","com.openframe.tests.OwnerRegistrationNegativeTest","testRegistrationClosed","Check that user cannot register when Registration is Closed",""
"passed","Sun Feb 01 05:57:11 UTC 2026","Sun Feb 01 05:57:12 UTC 2026","566","","Invitations and Users","","com.openframe.tests.UserInvitationsTest","testAcceptInvitation","Accept Invitation",""
"passed","Sun Feb 01 05:57:12 UTC 2026","Sun Feb 01 05:57:12 UTC 2026","108","","Invitations and Users","","com.openframe.tests.UserInvitationsTest","testInviteDeletedUser","Check that Deleted User can be invited",""
"passed","Sun Feb 01 05:57:10 UTC 2026","Sun Feb 01 05:57:11 UTC 2026","1367","","Test Access tokens","","com.openframe.tests.AuthTokensTest","testLogoutWithoutTenantId","Verify logout without tenantId",""
"passed","Sun Feb 01 05:57:09 UTC 2026","Sun Feb 01 05:57:10 UTC 2026","1189","","Test Access tokens","","com.openframe.tests.AuthTokensTest","testRefreshTokensWithoutTenantId","Verify refresh of access tokens without tenantId",""
"skipped","Sun Feb 01 05:57:01 UTC 2026","Sun Feb 01 05:57:01 UTC 2026","0","","Devices","","com.openframe.tests.DevicesTest","testGetDevice","Get device by machineId",""
"passed","Sun Feb 01 05:57:12 UTC 2026","Sun Feb 01 05:57:12 UTC 2026","57","","Invitations and Users","","com.openframe.tests.UserInvitationsTest","testInviteActiveUser","Check that Existing User cannot be invited",""
"skipped","Sun Feb 01 05:57:12 UTC 2026","Sun Feb 01 05:57:12 UTC 2026","0","","Scripts","","com.openframe.tests.ScriptsTest","testListScripts","List scripts",""
"skipped","Sun Feb 01 05:57:01 UTC 2026","Sun Feb 01 05:57:01 UTC 2026","0","","Devices","","com.openframe.tests.DevicesTest","testSearchDevices","Search device by hostname",""
"skipped","Sun Feb 01 05:57:12 UTC 2026","Sun Feb 01 05:57:12 UTC 2026","0","","Scripts","","com.openframe.tests.ScriptsTest","testAddScript","Add script",""
"skipped","Sun Feb 01 05:57:01 UTC 2026","Sun Feb 01 05:57:01 UTC 2026","0","","Devices","","com.openframe.tests.DevicesTest","testArchiveDevice","Archive device",""
"skipped","Sun Feb 01 05:57:12 UTC 2026","Sun Feb 01 05:57:12 UTC 2026","0","","Logs","","com.openframe.tests.LogsTest","testFilterLogs","Filter logs by severity and tool",""
"passed","Sun Feb 01 05:57:12 UTC 2026","Sun Feb 01 05:57:12 UTC 2026","59","","Invitations and Users","","com.openframe.tests.UserInvitationsTest","testDeleteUser","Delete Admin User",""
"skipped","Sun Feb 01 05:57:12 UTC 2026","Sun Feb 01 05:57:12 UTC 2026","0","","Scripts","","com.openframe.tests.ScriptsTest","testEditScript","Edit script",""
"passed","Sun Feb 01 05:57:10 UTC 2026","Sun Feb 01 05:57:11 UTC 2026","144","","Organizations","","com.openframe.tests.OrganizationsTest","testRetrieveAllOrganizations","Retrieve Active Organizations",""
"passed","Sun Feb 01 05:56:53 UTC 2026","Sun Feb 01 05:56:54 UTC 2026","1568","","Owner User registration","","com.openframe.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
"passed","Sun Feb 01 05:57:10 UTC 2026","Sun Feb 01 05:57:10 UTC 2026","161","","Organizations","","com.openframe.tests.OrganizationsTest","testDeleteOrganization","Delete Organization",""
