"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 17 16:34:54 UTC 2026","Tue Feb 17 16:34:57 UTC 2026","3131","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testRegisterNewUser","Register Owner user",""
"passed","Tue Feb 17 16:35:03 UTC 2026","Tue Feb 17 16:35:04 UTC 2026","1212","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testDefaultOrganizationCreated","Check that default organization is created",""
"passed","Tue Feb 17 16:34:58 UTC 2026","Tue Feb 17 16:35:03 UTC 2026","5095","","Owner registration","","com.openframe.test.tests.OwnerRegistrationTest","testLoginNewUser","Login Owner user",""
